"";"data.classe";"data.classe.n"
"2530";NA;NA
"2531";NA;NA
"2532";"Veneer";18
"2533";"Veneer";18
"2534";"II";8
"2535";"II";8
"2536";"Veneer";18
"2537";"Veneer";18
"2538";"Veneer";18
"2539";"Veneer";18
"2540";"Veneer";18
"2541";"Veneer";18
"2542";"Veneer";18
"2543";"Veneer";18
"2544";"II";8
"2545";NA;NA
"2546";"II";8
"2547";NA;NA
"2548";"II";8
"2549";"I";6
"2550";"V";16
"2551";"V";16
"2552";"V";16
"2553";"II";8
"2554";"II";8
"2555";"I";6
"2556";NA;NA
"2557";NA;NA
"2558";"II";8
"2559";NA;NA
"2560";NA;NA
"2561";"I";6
"2562";"IV";11
"2563";NA;NA
