"";"data.classe";"data.classe.n"
"220";"II";8
"221";"I";6
"222";NA;NA
"223";NA;NA
"224";"Reconstituição";14
"225";"II";8
"226";"V";16
"227";"II";8
"228";"II";8
"229";"II";8
"230";NA;NA
"231";"II";8
"232";"III";9
"233";"IV";11
"234";"I";6
"235";"II";8
"236";"II";8
"237";"II";8
"238";"II";8
"239";"II";8
"240";NA;NA
"241";"II";8
"242";"Reconstituição";14
"243";"II";8
"244";"II";8
"245";"II";8
"246";"V";16
"247";"V";16
"248";"II";8
"249";"I";6
"250";"Veneer";18
"251";"II";8
"252";"II";8
"253";"II";8
"254";"II";8
"255";NA;NA
"256";NA;NA
"257";"V";16
"258";"Reconstituição";14
"259";"I";6
"260";"V";16
"261";"II";8
"262";"V";16
"263";"Reconstituição";14
"264";"II";8
"265";"I";6
"266";"Reconstituição";14
"267";"I";6
"268";"I";6
"269";"I";6
"270";"I";6
"271";"Reconstituição";14
"272";"Reconstituição";14
"273";"Reconstituição";14
"274";"II";8
"275";"Veneer";18
"276";"V";16
"277";"II";8
"278";"Reconstituição";14
"279";NA;NA
"280";NA;NA
"281";"Veneer";18
"282";NA;NA
"283";"Veneer";18
"284";"Veneer";18
"285";"Veneer";18
"286";"III";9
"287";"Reconstituição";14
"288";"V";16
"289";"Reconstituição";14
"290";"III";9
"291";"V";16
"292";"III";9
"293";"V";16
"294";"Veneer";18
"295";"I";6
"296";"Veneer";18
"297";"Veneer";18
"298";"V";16
"299";"III";9
"300";"Veneer";18
"301";"I";6
"302";"III";9
"303";"V+I";17
"304";"V";16
"305";"V";16
"306";"Reconstituição";14
"307";"I";6
"308";"V";16
"309";"V";16
"310";"II";8
"311";"V";16
"312";"V";16
"313";"V";16
"314";"V";16
"315";"II";8
"316";"V";16
"317";"II";8
"318";"II";8
"319";"II";8
"320";"II";8
"321";"V";16
"322";"Reconstituição";14
"323";NA;NA
"324";"II";8
"325";"II";8
"326";NA;NA
"327";"IV";11
"328";"IV";11
"329";"Veneer";18
"330";"V";16
"331";"Veneer";18
"332";"V";16
"333";"Reconstituição";14
"334";"Reconstituição";14
"335";NA;NA
"336";"II";8
"337";"Veneer";18
"338";NA;NA
"339";"Veneer";18
"340";"V";16
"341";NA;NA
"342";"IV";11
"343";"V";16
"344";"Veneer";18
"345";"II";8
"346";"II";8
"347";"IV";11
"348";"II";8
"349";"II";8
"350";"II";8
"351";"II";8
"352";"II";8
"353";"IV";11
"354";"Veneer";18
"355";"Veneer";18
"356";"III";9
"357";NA;NA
"358";"Coroa";2
"359";"III";9
"360";"Veneer";18
"361";"II";8
"362";"II";8
"363";"III";9
"364";"V";16
"365";"II";8
"366";"II";8
"367";"Veneer";18
"368";"Veneer";18
"369";NA;NA
"370";"III";9
"371";"III";9
"372";NA;NA
"373";"III";9
"374";NA;NA
"375";"III";9
"376";"V";16
"377";"II";8
"378";"V";16
"379";"II";8
"380";"II";8
"381";"II";8
"382";"V";16
"383";"V";16
"384";"II";8
"385";"V";16
"386";"II";8
"387";"II";8
"388";"I";6
"389";"V";16
"390";"V";16
"391";"II";8
"392";"II";8
"393";"II";8
"394";"IV";11
"395";"Veneer";18
